objectid,filename,title,format,description,creator,date,item_information,subject,publisher-digital,original-identifier,cost,rating
book1,AL1.jpg,The Making of a Story: A Norton Guide to Creative Writing,image/jpeg,"A writing teacher compiles fifteen years of her expertise, exercieses, and examples in a new primer for creative writers. This text provides a guide to the basics of creative writing - both fiction and creative nonfiction. ",Alice LaPlante,2007,677 pages; harcover,Non-fiction; writing; reference,W.W. Norton & Company,9780393061642,29.99,4.3
book2,RE2.jpg,"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",image/jpeg,"Behind enemy lines, a special force of American and British museum directors, curators, art historians, and others called the Monuments Men risked their lives scouring Europe to prevent the destruction of thousands of years of culture. ",Robert M. Edsel,2009,473 pages; mass paperback,Non-fiction; history; biography; world war II,Center Street,9780316240055,39.03,3.8
book3,AA3.jpg,Fifteen Dogs,image/jpeg,A bet between the gods Hermes and Apollo leads them to grant human consciousness and language to a group of dogs overnighting at a Toronto veterinary clinic. ,André Alexis,2015,171 pages; paperback,Fiction; literary fiction; animals; mythology,Coach House Books,9781552453056,17.95,3.8
book4,GK4.jpg,The Fionavar Tapestry,image/jpeg,"In the three novels that make up the Fionavar Tapestry trilogy (The Summer Tree, The Wandering Fire, and The Darkest Road), five University of Toronto students find themselves transported to a magical land to do battle with the forces of evil.",Guy Gavriel Kay,1995,792 pages; paperback,Fiction; high fantasy; Arthurian mythology,HarperCollins Publishers Canada,9780006479505,43.45,4.5
book5,DS5.jpg,The Abominable: A Novel,image/jpeg,"A year after the mysterious 1924 Everest disaster, three climbers embark on a rescue mission that becomes a fight for survival against an unknown terror hidden high on the mountain.",Dan Simmons,2013,663 pages; paperback,Fiction; horror; suspense ,"Little, Brown Paperbacks",9780316198844,17.93,4.3
book6,TH6.jpg,Far from the Madding Crowd,image/jpeg,"After inheriting a farm, Bathsheba Everdene's pursuit of independence is complicated by three very different suitors, leading to passion, tragedy, and redemption.",Thomas Hardy,2003,318 pages; hardcover,Fiction; classic literature; historical fiction; romance,Wordsworth Editions Ltd.,1840224665,17.39,3.8
book7,ET7.jpg,The Incandescent,image/jpeg,"Doctor Walden oversees a centuries-old magical academy, but as demonic forces close in, she begins to question whether the greatest threat lies outside the school's walls or within herself.",Emily Tesh,2025,416 pages; hardcover,Fiction; fantasy; romance,Tor Books,9781250835017,40.7,3.9
book8,MB8.jpg,World War Z: An Oral History of the Zombie War,image/jpeg,"Presented as a collection of survivor interviews, World War Z chronicles humanity's devastating war against a global zombie pandemic, capturing the horror, resilience, and sacrifices that shaped the fight for survival.",Max Brooks,2006,342 pages; paperback,Fiction; horror; science fiction; post apocalyptic,Three Rivers Press,9780307346612,27.99,4
book9,PP9.jpg,The Golden Compass,image/jpeg,"A courageous young girl ventures into the far North to rescue a kidnapped friend, only to become entangled in a conflict that spans parallel worlds.",Philip Pullman,2001,399 pages; paperback,Fiction; young adult; fantasy; adventure,Dell Yearling,9780440418320,37.93,4
book10,EM10.jpg,Co-Intelligence: Living and Working with AI,image/jpeg,"Wharton professor Ethan Mollick explores how AI is transforming work, education, and everyday life, offering practical guidance for collaborating with AI as a co-worker, teacher, and creative partner.",Ethan Mollick,2024,256 pages; hardcover,Non-fiction; technology; artificial intelligence,Portfolio,9780593716717,34.87,3.9
